,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
121,David Beckham Beach Kicks DEBUNK,Captain Disillusion,2024-08-02,1137111,125106,5790,0.11002092144038708,0.0050918511913085
122,What REALLY Happened To Shelly-Ann Fraser-Pryce,Total Running Productions,2024-08-04,1428430,12857,1614,0.009000791078316753,0.0011299118612742663
123,Why I Left Donut,Speeed,2024-08-01,4732756,368734,29732,0.07791105224947155,0.006282174699054842
124,I Collected EVERY NEW WOLF in Minecraft Hardcore,aCookieGod,2024-08-02,1606144,59187,4713,0.03685036958080969,0.0029343570688555947
125,I Bought a Cheap Semi at the Auction. (How bad can it be?),Diesel Creek,2024-08-02,628116,82765,3195,0.13176706213501965,0.005086640047379783
126,"USA vs GERMANY | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 22, 2024",NBA,2024-07-22,9008888,112637,12609,0.012502874938616175,0.0013996177996662851
127,NoCap - Maliboo [Official Music Video],NoCap,2024-08-02,482589,24171,1158,0.0500860981083282,0.002399557387342024
128,Paris Olympics organisers apologise for opening ceremony's unintentional Last Supper parody,Guardian Sport,2024-07-28,3490266,7260,10261,0.002080070688022059,0.002939890541293987
129,Man City 4-2 Chelsea | HIGHLIGHTS | Chelsea FC USA Tour 2024,Chelsea Football Club,2024-08-04,1276634,14533,1905,0.011383842197528814,0.0014922052835816687
130,"Jessie Murph, Teddy Swims - Dirty (Official Video)",JessieMurphVEVO,2024-08-02,466242,17956,684,0.03851218894908653,0.0014670493005778116
131,FLO - Check,FloLikeThisVEVO,2024-08-02,675642,61667,2488,0.09127170898197566,0.0036824235319888343
132,Polo G - We Uh Shoot (feat. Lil Durk) (Official Lyric Video),Polo G,2024-08-02,366678,32634,2356,0.08899906730155613,0.006425255946634377
133,INCURSIONS // Official Console Cinematic Trailer - VALORANT,VALORANT,2024-08-02,1437359,89283,3402,0.06211600581343979,0.002366840851867905
134,A$AP ROCKY - HIGHJACK (Audio),ASAPROCKYUPTOWN,2024-08-02,568777,41634,2540,0.07319916241338872,0.004465722066820564
135,Tech Products That Should Not Exist,Danny Gonzalez,2024-07-31,4836074,270494,13107,0.05593256017174262,0.002710256294672083
